ax,ay,az,wx,wy,wz,q_w,q_x,q_y,q_z,psi,theta,phi
-0.84,-0.01,6.87,0.12,-0.07,-0.04,0.99997,0.00188,0.00789,3e-05,0.00513801311105677,0.9041313365062421,0.21547888000343568
-0.85,-0.02,6.86,0.12,-0.07,-0.04,0.99997,0.00194,0.00793,1e-05,0.002909127209352406,0.9087196754095959,0.2223370849503712
-0.85,-0.02,6.88,0.12,-0.07,-0.04,0.99997,0.002,0.00797,-1e-05,0.0006807896060928901,0.9133082951958105,0.22919511419573418
-0.85,-0.01,6.86,0.12,-0.07,-0.04,0.99997,0.00206,0.00801,-3e-05,-0.0015469996699247193,0.9178971958953898,0.23605296774059703
-0.87,-0.02,6.86,0.13,-0.08,-0.04,0.99997,0.00212,0.00805,-5e-05,-0.0037742405899238115,0.9224863775388487,0.24291064558605227
-0.85,-0.0,6.83,0.13,-0.08,-0.05,0.99996,0.00218,0.00809,-8e-05,-0.007147003925769571,0.9270690669089501,0.24976137313643024
-0.87,-0.0,6.83,0.14,-0.08,-0.05,0.99996,0.00225,0.00813,-0.00011,-0.010509883444131807,0.931661526701982,0.25775543538236345
-0.85,0.0,6.85,0.14,-0.09,-0.05,0.99996,0.00232,0.00816,-0.00014,-0.013874779970598043,0.9351084512618372,0.26574934780260445
-0.84,0.0,6.86,0.14,-0.09,-0.06,0.99996,0.00239,0.00819,-0.00017,-0.0172391961285207,0.9385558605555127,0.2737430590779283
-0.85,0.01,6.87,0.15,-0.1,-0.06,0.99996,0.00246,0.00822,-0.0002,-0.02060313183191221,0.94200375459692,0.28173656913250067
-0.86,0.02,6.85,0.14,-0.11,-0.07,0.99996,0.00253,0.00824,-0.00024,-0.025115514498456167,0.9443090073727464,0.2897206487805016
-0.85,0.01,6.86,0.13,-0.13,-0.07,0.99996,0.00259,0.00825,-0.00028,-0.029640007342511245,0.9454685566063261,0.2965587866368303
-0.84,0.01,6.84,0.13,-0.13,-0.07,0.99996,0.00265,0.00826,-0.00032,-0.03416436105819995,0.946628656341745,0.30339683180734617
-0.84,0.01,6.85,0.13,-0.14,-0.06,0.99996,0.00271,0.00827,-0.00035,-0.03754254423152017,0.9477862007238504,0.3102442643055818
-0.83,0.01,6.87,0.12,-0.14,-0.06,0.99996,0.00277,0.00828,-0.00038,-0.04092058848145904,0.948944158079038,0.31709162734763213
-0.83,0.01,6.87,0.12,-0.15,-0.06,0.99996,0.00283,0.00828,-0.00041,-0.044301729786208555,0.9489565012828387,0.32393933705305816
-0.82,0.03,6.89,0.12,-0.15,-0.05,0.99996,0.00289,0.00828,-0.00044,-0.04768286841272276,0.9489692570728852,0.3307870435684249
-0.81,0.03,6.89,0.12,-0.14,-0.05,0.99996,0.00295,0.00829,-0.00047,-0.05106063182271132,0.9501284525831328,0.3376342641163353
-0.81,0.04,6.9,0.11,-0.14,-0.05,0.99996,0.003,0.0083,-0.0005,-0.05444777169824459,0.95128748803203,0.34333538504920097
-0.8,0.04,6.89,0.11,-0.14,-0.05,0.99996,0.00305,0.00831,-0.00053,-0.05783479571772999,0.9524468676924223,0.3490364365597222
-0.81,0.04,6.9,0.11,-0.14,-0.05,0.99996,0.0031,0.00832,-0.00056,-0.06122170382708457,0.9536065915651315,0.3547374185933263
-0.81,0.05,6.91,0.11,-0.14,-0.05,0.99996,0.00316,0.00833,-0.00059,-0.06459894509597552,0.9547673358350591,0.36158436034812735
-0.82,0.04,6.9,0.11,-0.13,-0.05,0.99996,0.00321,0.00834,-0.00062,-0.06798560948278334,0.9559277825173528,0.36728520305639856
