a_x_int,a_y_int,a_z_int,w_x_int,w_y_int,w_z_int,q_w_int,q_x_int,q_y_int,q_z_int,a_x,a_y,a_z,w_x,w_y,w_z,q_w,q_x,q_y,q_z,psi,theta,phi,q_w_ref,q_x_ref,q_y_ref,q_z_ref,psi_ref,theta_ref,phi_ref
-278,-6,390,-169,-31,-20,16213,63578,76,64313,-0.0169677734375,-0.0003662109375,0.0238037109375,-0.01031494140625,-0.00189208984375,-0.001220703125,0.98956298828125,-0.1195068359375,0.004638671875,-0.07464599609375,-8.567859621894593,-0.49623908403766553,-13.73500947705633,1.000061511993,0.005391981453,0.008046600968,-0.001214516931,-0.1341983811690566,0.9229195993451103,0.6167509490879137
-280,-10,389,-133,-26,-8,16211,63566,78,64313,-0.01708984375,-0.0006103515625,0.02374267578125,-0.00811767578125,-0.0015869140625,-0.00048828125,0.98944091796875,-0.1202392578125,0.0047607421875,-0.07464599609375,-8.56944984210498,-0.48872815980707573,-13.820844210362647,1.000063300133,0.005368334707,0.008270664141,-0.001216479344,-0.1343075237677528,0.9485999630364446,0.6140094115250858
-280,-15,389,-87,-18,8,16210,63559,80,64314,-0.01708984375,-0.00091552734375,0.02374267578125,-0.00531005859375,-0.0010986328125,0.00048828125,0.9893798828125,-0.12066650390625,0.0048828125,-0.0745849609375,-8.564069785597223,-0.47773201791577635,-13.871298661573045,1.000065088272,0.00534479972,0.008495200425,-0.001217034878,-0.1342562843693265,0.9743339782174623,0.6112819404087845
-281,-18,390,-54,-10,18,16209,63555,83,64316,-0.01715087890625,-0.0010986328125,0.0238037109375,-0.0032958984375,-0.0006103515625,0.0010986328125,0.98931884765625,-0.12091064453125,0.00506591796875,-0.074462890625,-8.552888545217847,-0.45740256348670083,-13.901577337879486,1.000066876411,0.00532188965,0.008720281534,-0.001216712524,-0.13410471681138258,1.0001302767889961,0.6086269076344086
-282,-19,394,-28,-5,20,16209,63554,86,64318,-0.0172119140625,-0.00115966796875,0.0240478515625,-0.001708984375,-0.00030517578125,0.001220703125,0.98931884765625,-0.1209716796875,0.0052490234375,-0.0743408203125,-8.541471787407318,-0.43547229464803505,-13.910228134778158,1.00006878376,0.005300576799,0.008945752867,-0.001216229633,-0.1339340574775365,1.025971846047645,0.6061550082728676
-282,-20,397,-13,-3,23,16209,63554,89,64321,-0.0172119140625,-0.001220703125,0.02423095703125,-0.00079345703125,-0.00018310546875,0.00140380859375,0.98931884765625,-0.1209716796875,0.00543212890625,-0.07415771484375,-8.52321888678707,-0.4121751625130287,-13.912035071780378,1.000070691109,0.005279796664,0.009171331301,-0.001215489465,-0.1337344060993816,1.0518259193195085,0.6037444852861851
-287,-19,406,0,3,18,16209,63555,93,64323,-0.01751708984375,-0.00115966796875,0.0247802734375,0.0,0.00018310546875,0.0010986328125,0.98931884765625,-0.12091064453125,0.00567626953125,-0.07403564453125,-8.512823581069345,-0.38228681671795284,-13.90733321552209,1.000072598457,0.005261271726,0.009397550486,-0.001215205295,-0.13358527869270068,1.0777543408618548,0.6015919003552911
-289,-17,416,0,5,13,16209,63556,97,64325,-0.01763916015625,-0.00103759765625,0.025390625,0.0,0.00030517578125,0.00079345703125,0.98931884765625,-0.120849609375,0.00592041015625,-0.07391357421875,-8.50242554275229,-0.3524002825310778,-13.902625806728242,1.000074625015,0.005244377069,0.009624082595,-0.001215363271,-0.1334857881088549,1.103719575297528,0.5996255963018686
-294,-16,428,-3,10,5,16209,63557,101,64326,-0.0179443359375,-0.0009765625,0.026123046875,-0.00018310546875,0.0006103515625,0.00030517578125,0.98931884765625,-0.12078857421875,0.00616455078125,-0.0738525390625,-8.498952750022013,-0.32336037424475794,-13.897830583224236,1.000076651573,0.00522817485,0.009851147421,-0.001216239762,-0.1334684230172709,1.1297467294940222,0.5977378031127715
-294,-14,438,-8,13,-5,16209,63558,106,64326,-0.0179443359375,-0.0008544921875,0.0267333984375,-0.00048828125,0.00079345703125,-0.00030517578125,0.98931884765625,-0.1207275390625,0.0064697265625,-0.0738525390625,-8.50324823935852,-0.2882462979215559,-13.89346579998759,1.00007879734,0.005212991498,0.010078591295,-0.001218011836,-0.13355312220546944,1.1558184819688586,0.5959656147489444
-301,-14,452,-26,13,-18,16208,63557,111,64325,-0.01837158203125,-0.0008544921875,0.027587890625,-0.0015869140625,0.00079345703125,-0.0010986328125,0.9892578125,-0.12078857421875,0.00677490234375,-0.07391357421875,-8.5148263688449,-0.2550576083671427,-13.90372466408178,1.000080943108,0.005196373444,0.010306056589,-0.001220955164,-0.13377452643147134,1.1818935317849826,0.5940275951322094
-319,-29,452,-49,3,-18,16207,63553,115,64324,-0.01947021484375,-0.00177001953125,0.027587890625,-0.00299072265625,0.00018310546875,-0.0010986328125,0.98919677734375,-0.12103271484375,0.00701904296875,-0.073974609375,-8.525336267129381,-0.23034490827326873,-13.934260870688282,1.000083088875,0.005167627241,0.010531755164,-0.001223979285,-0.13402176655263337,1.2077647607120126,0.5906998181823037
-340,-44,431,-67,-13,-10,16206,63547,118,64324,-0.020751953125,-0.002685546875,0.02630615234375,-0.00408935546875,-0.00079345703125,-0.0006103515625,0.9891357421875,-0.12139892578125,0.0072021484375,-0.073974609375,-8.527932141568053,-0.2127438060211032,-13.97821948074439,1.000085353851,0.005128915887,0.010754935443,-0.001226341352,-0.13420839704770365,1.2333460163450978,0.5862310705045554
-346,-47,406,-72,-18,0,16205,63541,120,64325,-0.0211181640625,-0.00286865234375,0.0247802734375,-0.00439453125,-0.0010986328125,0.0,0.98907470703125,-0.12176513671875,0.00732421875,-0.07391357421875,-8.522763030624658,-0.2012113832274934,-14.02174068966752,1.000087618828,0.005088597536,0.010977482423,-0.001227793982,-0.13429519846483884,1.2588542614466818,0.5815793129714847
