q_w_int,q_x_int,q_y_int,q_z_int,q_w_fixed,q_x_fixed,q_y_fixed,q_z_fixed
16238,63936,807,64499,0.9910888671875,-0.09765625,0.04925537109375,-0.06329345703125
16233,63893,804,64493,0.99078369140625,-0.10028076171875,0.049072265625,-0.06365966796875
16228,63848,802,64488,0.990478515625,-0.10302734375,0.0489501953125,-0.06396484375
16223,63802,803,64482,0.99017333984375,-0.1058349609375,0.04901123046875,-0.0643310546875
16217,63755,805,64476,0.98980712890625,-0.10870361328125,0.04913330078125,-0.064697265625
16211,63710,807,64470,0.98944091796875,-0.1114501953125,0.04925537109375,-0.0650634765625
16206,63669,810,64466,0.9891357421875,-0.11395263671875,0.0494384765625,-0.0653076171875
16201,63633,812,64464,0.98883056640625,-0.11614990234375,0.049560546875,-0.0654296875
16197,63602,813,64465,0.98858642578125,-0.1180419921875,0.04962158203125,-0.06536865234375
16194,63574,815,64468,0.9884033203125,-0.1197509765625,0.04974365234375,-0.065185546875
16191,63549,818,64472,0.98822021484375,-0.12127685546875,0.0499267578125,-0.06494140625
16188,63527,822,64477,0.988037109375,-0.12261962890625,0.0501708984375,-0.06463623046875
16185,63506,827,64482,0.98785400390625,-0.1239013671875,0.05047607421875,-0.0643310546875
16182,63485,833,64487,0.9876708984375,-0.12518310546875,0.05084228515625,-0.06402587890625
16179,63463,839,64492,0.98748779296875,-0.12652587890625,0.05120849609375,-0.063720703125
16176,63440,846,64497,0.9873046875,-0.1279296875,0.0516357421875,-0.06341552734375
16173,63414,842,64504,0.98712158203125,-0.1295166015625,0.0513916015625,-0.06298828125
16170,63385,829,64511,0.9869384765625,-0.13128662109375,0.05059814453125,-0.06256103515625
16167,63353,812,64517,0.98675537109375,-0.13323974609375,0.049560546875,-0.06219482421875
16164,63320,792,64520,0.986572265625,-0.13525390625,0.04833984375,-0.06201171875
16160,63287,771,64516,0.986328125,-0.13726806640625,0.04705810546875,-0.062255859375
16156,63254,749,64506,0.986083984375,-0.1392822265625,0.04571533203125,-0.0628662109375
16151,63217,727,64491,0.98577880859375,-0.14154052734375,0.04437255859375,-0.06378173828125
16145,63179,708,64473,0.98541259765625,-0.14385986328125,0.043212890625,-0.06488037109375
16139,63139,683,64461,0.98504638671875,-0.14630126953125,0.04168701171875,-0.06561279296875
16133,63098,656,64453,0.98468017578125,-0.1488037109375,0.0400390625,-0.06610107421875
16127,63059,632,64448,0.98431396484375,-0.15118408203125,0.03857421875,-0.06640625
16122,63029,612,64445,0.9840087890625,-0.15301513671875,0.037353515625,-0.06658935546875
16119,63016,606,64444,0.98382568359375,-0.15380859375,0.0369873046875,-0.066650390625
16117,63010,616,64444,0.98370361328125,-0.1541748046875,0.03759765625,-0.066650390625
16116,63012,639,64447,0.983642578125,-0.154052734375,0.03900146484375,-0.06646728515625
16116,63021,672,64455,0.983642578125,-0.15350341796875,0.041015625,-0.06597900390625
16116,63031,715,64471,0.983642578125,-0.15289306640625,0.04364013671875,-0.06500244140625
16115,63038,764,64493,0.98358154296875,-0.1524658203125,0.046630859375,-0.06365966796875
16114,63041,817,64520,0.9835205078125,-0.15228271484375,0.04986572265625,-0.06201171875
16113,63040,872,64552,0.98345947265625,-0.15234375,0.05322265625,-0.06005859375
16111,63036,929,64587,0.98333740234375,-0.152587890625,0.05670166015625,-0.05792236328125
16109,63029,987,64623,0.98321533203125,-0.15301513671875,0.06024169921875,-0.05572509765625
16106,63021,1044,64659,0.9830322265625,-0.15350341796875,0.063720703125,-0.05352783203125
16103,63008,1100,64694,0.98284912109375,-0.154296875,0.067138671875,-0.0513916015625
