a_x_int,a_y_int,a_z_int,w_x_int,w_y_int,w_z_int,q_w_int,q_x_int,q_y_int,q_z_int,a_x,a_y,a_z,w_x,w_y,w_z,q_w,q_x,q_y,q_z,psi,theta,phi,q_w_ref,q_x_ref,q_y_ref,q_z_ref,psi_ref,theta_ref,phi_ref,psi_err,theta_err,phi_err,q_w_err,q_x_err,q_y_err,q_z_err
-3,-1,542,-39,73,-11,16387,5,42,29,-0.046875,-0.015625,8.46875,-0.15234375,0.28515625,-0.04296875,1.00018310546875,0.00030517578125,0.0025634765625,0.00177001953125,0.202882879949624,0.29374595179658725,0.03548404494462106,0.999996602535,-0.00013602688,0.003010175424,0.001717063831,0.19671635419094427,0.34496837184779233,-0.014995387591775168,0.006166525758679736,0.051222420051205086,0.05047943253639623,0.00018650293374999904,0.00044120266125,0.00044669886149999996,5.295570025000006e-05
-8,-3,554,-19,64,6,16388,3,52,30,-0.125,-0.046875,8.65625,-0.07421875,0.25,0.0234375,1.000244140625,0.00018310546875,0.003173828125,0.0018310546875,0.20984062992165867,0.3637467289999547,0.021642983209072937,0.999996006489,-0.000366586435,0.003578159958,0.00175217411,0.2006371910300112,0.4101023971118854,-0.04128983484063237,0.009203438891647459,0.0463556681119307,0.0629328180497053,0.000248134136,0.00054969190375,0.0004043318330000001,7.88805775e-05
-8,-1,559,-33,67,14,16389,0,62,31,-0.125,-0.015625,8.734375,-0.12890625,0.26171875,0.0546875,1.00030517578125,0.0,0.0037841796875,0.00189208984375,0.2167542212550491,0.4337715286129212,0.0008199847253121496,0.999995172024,-0.00059421832,0.00419460563,0.001834715367,0.2099616728538701,0.4807946507956516,-0.06721178713494766,0.006792548401178988,0.047023122182730415,0.06803177186025981,0.0003100037572499881,0.00059421832,0.00041042594249999977,5.737447674999995e-05
-4,-1,566,-36,47,-4,16389,65534,63,31,-0.0625,-0.015625,8.84375,-0.140625,0.18359375,-0.015625,1.00030517578125,-0.0001220703125,0.00384521484375,0.00189208984375,0.21670056375843808,0.44079444827855285,-0.013150905751842272,0.999993145466,-0.000898115162,0.004262534901,0.001811487251,0.20714725418557642,0.48863952673893873,-0.10203378154208004,0.009553309572861657,0.04784507846038588,0.08888287579023776,0.00031203031524995595,0.0007760448495,0.0004173200572500004,8.060259275000006e-05
-4,-1,573,-18,36,-21,16389,65533,63,29,-0.0625,-0.015625,8.953125,-0.0703125,0.140625,-0.08203125,1.00030517578125,-0.00018310546875,0.00384521484375,0.00177001953125,0.20268956289845444,0.4408051207649738,-0.020196728407773753,0.999991416931,-0.000998859759,0.004246516619,0.001688519958,0.19300883497642812,0.4868099097274106,-0.11364189597423766,0.009680727922026316,0.046004788962436816,0.0934451675664639,0.00031375885024997885,0.00081575429025,0.0004013017752500002,8.149957325000005e-05
0,-2,580,8,49,-43,16389,65535,64,25,0.0,-0.03125,9.0625,0.03125,0.19140625,-0.16796875,1.00030517578125,-6.103515625e-05,0.00390625,0.00152587890625,0.1747747232637576,0.44777511148064003,-0.0063094592336296875,0.999989748001,-0.000991681707,0.00430995971,0.00143569638,0.16403336212375788,0.49404921164247023,-0.11293226432589418,0.010741361139999711,0.0462741001618302,0.10662280509226449,0.000315427780249955,0.0009306465507499999,0.0004037097100000001,9.018252625000002e-05
-2,-7,580,7,64,-33,16389,65532,69,22,-0.03125,-0.109375,9.0625,0.02734375,0.25,-0.12890625,1.00030517578125,-0.000244140625,0.00421142578125,0.0013427734375,0.1537084331175601,0.4827844009567247,-0.027320735440963334,0.99998819828,-0.001153661287,0.004581134301,0.001240818179,0.14158604099302863,0.5251245139213147,-0.1315525135347158,0.012122392124531478,0.04234011296458995,0.10423177809375248,0.00031697750125003754,0.000909520662,0.0003697085197499998,0.00010195525849999998
-5,-8,586,17,29,-6,16389,65530,74,21,-0.078125,-0.125,9.15625,0.06640625,0.11328125,-0.0234375,1.00030517578125,-0.0003662109375,0.0045166015625,0.00128173828125,0.14664504695119088,0.5177831980813467,-0.04128967452861735,0.999987781048,-0.001280780183,0.004738237709,0.001203958411,0.13727251819922415,0.5431402471878599,-0.14611766328074352,0.00937252875196673,0.025357049106513263,0.10482798875212618,0.0003173947332499871,0.0009145692454999999,0.00022163614650000038,7.777987024999993e-05
-10,-4,582,32,14,6,16390,65534,79,22,-0.15625,-0.0625,9.09375,0.125,0.0546875,0.0234375,1.0003662109375,-0.0001220703125,0.00482177734375,0.0013427734375,0.15375025213760524,0.5527646852388011,-0.01324200421000146,0.999988675117,-0.00120441278,0.005018118769,0.001237848192,0.141159247143596,0.5752080454120602,-0.13730846385973383,0.012591004994009225,0.022443360173259097,0.12406645964973237,0.0003775358205000412,0.0010823424675,0.0001963414252500002,0.00010492524549999996
-9,-2,592,48,17,7,16391,4,84,24,-0.140625,-0.03125,9.25,0.1875,0.06640625,0.02734375,1.00042724609375,0.000244140625,0.005126953125,0.00146484375,0.16793463382500426,0.5877258868077738,0.028825070565504447,0.999989628792,-0.000965716376,0.005340802018,0.001277387724,0.1457922737329516,0.6121574882565749,-0.10988522438968865,0.02214236009205267,0.024431601448801077,0.1387102949551931,0.0004376173017499596,0.001209857001,0.00021384889300000032,0.00018745602600000002
