a_x_int,a_y_int,a_z_int,w_x_int,w_y_int,w_z_int,q_w_int,q_x_int,q_y_int,q_z_int,a_x,a_y,a_z,w_x,w_y,w_z,q_w,q_x,q_y,q_z,psi,theta,phi,q_w_ref,q_x_ref,q_y_ref,q_z_ref,psi_ref,theta_ref,phi_ref,psi_err,theta_err,phi_err,q_w_err,q_x_err,q_y_err,q_z_err
-209,170,410,-422,-51,-266,16320,64415,57,64670,-3.265625,2.65625,6.40625,-1.6484375,-0.19921875,-1.0390625,0.99609375,-0.06842041015625,0.00347900390625,-0.0528564453125,-6.073768303074058,-0.01730855339371912,-7.8578854442394315,0.996070861816,-0.068000100553,0.003407774726,-0.052761502564,-6.062691433532825,-0.022162279819640095,-7.809681663477703,0.011076869541232881,0.004853726425920975,0.048203780761728154,2.2888183999980605e-05,0.0004203096032499992,7.122918025000017e-05,9.494274849999873e-05
-207,158,418,-435,-46,-259,16316,64376,56,64646,-3.234375,2.46875,6.53125,-1.69921875,-0.1796875,-1.01171875,0.995849609375,-0.07080078125,0.00341796875,-0.0543212890625,-6.240913022022958,-0.050673180058315136,-8.130536555066609,0.995807349682,-0.070387244225,0.003318547737,-0.054234832525,-6.230706739526329,-0.0587632694495752,-8.083094729424712,0.010206282496628916,0.008090089391260068,0.04744182564189714,4.225969299997967e-05,0.0004135370249999937,9.942101300000009e-05,8.645653750000148e-05
-208,142,424,-458,-41,-253,16311,64335,55,64622,-3.25,2.21875,6.625,-1.7890625,-0.16015625,-0.98828125,0.99554443359375,-0.07330322265625,0.00335693359375,-0.0557861328125,-6.408217395137267,-0.08563737058595602,-8.417529799180674,0.995527803898,-0.072911478579,0.003274019109,-0.055673219264,-6.394960393945901,-0.09165491502567288,-8.372492738524613,0.013257001191366413,0.00601754443971686,0.04503706065606039,1.6629695750003393e-05,0.0003917440772499975,8.291448475000003e-05,0.00011291354850000157
-184,129,422,-474,-36,-251,16306,64292,55,64598,-2.875,2.015625,6.59375,-1.8515625,-0.140625,-0.98046875,0.9952392578125,-0.075927734375,0.00335693359375,-0.0572509765625,-6.575812320157741,-0.11527744926490109,-8.718769920995639,0.995232284069,-0.075521856546,0.003259208519,-0.057100825012,-6.558128139987112,-0.12246303545014835,-8.671972172229273,0.01768418017062956,0.007185586185247256,0.046797748766366,6.973743500005014e-06,0.00040587782900000646,9.772507474999992e-05,0.0001501515505000009
-159,119,420,-494,-28,-251,16301,64248,55,64574,-2.484375,1.859375,6.5625,-1.9296875,-0.109375,-0.98046875,0.99493408203125,-0.07861328125,0.00335693359375,-0.0587158203125,-6.743214855589254,-0.1462093224897271,-9.026896841242133,0.994917392731,-0.078238263726,0.003288858803,-0.058530844748,-6.721868678871679,-0.14979526984232017,-8.983936780257336,0.021346176717575105,0.003585947352593072,0.042960060984796655,1.66893002500057e-05,0.00037501752400000143,6.80747907500002e-05,0.00018497556449999925
-168,106,419,-507,-23,-251,16295,64202,56,64550,-2.625,1.65625,6.546875,-1.98046875,-0.08984375,-0.98046875,0.99456787109375,-0.0814208984375,0.00341796875,-0.0601806640625,-6.91134846853581,-0.17195197802424214,-9.349844157659325,0.994586765766,-0.081036306918,0.003362182993,-0.059960771352,-6.885905585440818,-0.17360839829298494,-9.305588005537594,0.025442883094992652,0.0016564202687427976,0.04425615212173106,1.8894672250024946e-05,0.00038459151950000214,5.578575700000005e-05,0.00021989271049999842
-219,86,409,-502,-18,-251,16290,64156,58,64526,-3.421875,1.34375,6.390625,-1.9609375,-0.0703125,-0.98046875,0.9942626953125,-0.084228515625,0.0035400390625,-0.0616455078125,-7.0795088553828345,-0.19166400330492636,-9.67258688237702,0.994250059128,-0.08383320272,0.003491935786,-0.061389513314,-7.050261146389928,-0.19189792204118358,-9.627504277385857,0.02924770899290685,0.00023391873625722148,0.04508260499116368,1.2636184499981162e-05,0.0003953129050000004,4.810327649999984e-05,0.00025599449850000067
-266,79,406,-489,-10,-246,16284,64111,61,64503,-4.15625,1.234375,6.34375,-1.91015625,-0.0390625,-0.9609375,0.993896484375,-0.08697509765625,0.00372314453125,-0.06304931640625,-7.241689729901641,-0.20435158236579742,-9.989397395719985,0.993912220001,-0.086569279432,0.003679283429,-0.062790647149,-7.211997939690269,-0.2038423487612301,-9.942889960692838,0.02969179021137247,0.0005092336045673107,0.046507435027146826,1.5735625999990788e-05,0.0004058182242499958,4.386110225000021e-05,0.0002586692572500021
-310,77,412,-468,-3,-238,16279,64068,65,64481,-4.84375,1.203125,6.4375,-1.828125,-0.01171875,-0.9296875,0.99359130859375,-0.089599609375,0.00396728515625,-0.06439208984375,-7.397140244808991,-0.20943327623999286,-10.292162552469303,0.993578612804,-0.089190758765,0.003910360858,-0.064146950841,-7.369077153726166,-0.21039794359173156,-10.245506166120018,0.02806309108282523,0.0009646673517386961,0.046656386349285484,1.2695789750050146e-05,0.00040885060999999723,5.692429825000008e-05,0.00024513900275
-341,81,424,-448,-3,-228,16274,64027,69,64460,-5.328125,1.265625,6.625,-1.75,-0.01171875,-0.890625,0.9932861328125,-0.09210205078125,0.00421142578125,-0.065673828125,-7.545715604028873,-0.21377602550957886,-10.581054278992873,0.993250072002,-0.09169781208,0.004140696954,-0.065443664789,-7.519393196102475,-0.21638299071474193,-10.53507089829307,0.02632240792639795,0.00260696520516307,0.04598338069980379,3.606081050000487e-05,0.0004042387012500037,7.072882725000021e-05,0.00023016333599999717
-344,83,444,-435,-5,-212,16269,63987,72,64440,-5.375,1.296875,6.9375,-1.69921875,-0.01953125,-0.828125,0.99298095703125,-0.09454345703125,0.00439453125,-0.06689453125,-7.68671231716002,-0.22468647881935114,-10.862569664082514,0.992925882339,-0.094125777483,0.004361193161,-0.066644996405,-7.658754505583439,-0.22261420532173687,-10.815587628913866,0.027957811576580838,0.0020722734976142687,0.046982035168648295,5.507469224996786e-05,0.0004176795482500051,3.333808900000002e-05,0.00024953484499999623
-327,77,457,-435,-10,-200,16264,63947,75,64422,-5.109375,1.203125,7.140625,-1.69921875,-0.0390625,-0.78125,0.99267578125,-0.09698486328125,0.00457763671875,-0.0679931640625,-7.813757200909786,-0.23493611390335342,-11.14417302218989,0.992598354816,-0.096551388502,0.004557209089,-0.067772343755,-7.789422598415222,-0.23147966382250088,-11.095747629989424,0.024334602494564095,0.0034564500808525467,0.04842539220046582,7.742643399999416e-05,0.000433474779250001,2.0427629750000356e-05,0.00022082030749999426
-308,67,461,-440,-20,-189,16259,63907,77,64405,-4.8125,1.046875,7.203125,-1.71875,-0.078125,-0.73828125,0.99237060546875,-0.09942626953125,0.00469970703125,-0.06903076171875,-7.933109539313755,-0.2520586990684952,-11.425330918860507,0.992264866829,-0.099007748067,0.004702393897,-0.068828448653,-7.911381391940993,-0.24620409698533816,-11.379135412568633,0.021728147372762407,0.005854602083157051,0.0461955062918733,0.0001057386397500526,0.0004185214642500046,2.686865750000343e-06,0.0002023130657499983
-296,55,457,-440,-31,-177,16253,63866,78,64389,-4.625,0.859375,7.140625,-1.71875,-0.12109375,-0.69140625,0.99200439453125,-0.1019287109375,0.0047607421875,-0.07000732421875,-8.045140423736722,-0.2765195744477033,-11.713679364119377,0.99192905426,-0.101469747722,0.004791807383,-0.069806747139,-8.02378266971596,-0.2670153482736248,-11.662808369610588,0.021357754020762343,0.009504226174078534,0.050870994508789735,7.534027125000176e-05,0.0004589632154999995,3.106519550000013e-05,0.0002005770797500056
-286,47,441,-433,-41,-161,16248,63826,79,64375,-4.46875,0.734375,6.890625,-1.69140625,-0.16015625,-0.62890625,0.99169921875,-0.1043701171875,0.00482177734375,-0.07086181640625,-8.14275202356748,-0.2995555324430689,-11.994474431557451,0.99159681797,-0.103896170855,0.004830896854,-0.070684663951,-8.124079461877793,-0.29261814894701094,-11.94206839280194,0.018672561689687228,0.006937383496057936,0.052406038755512085,0.00010240078000001152,0.0004739463325000026,9.119510250000379e-06,0.00017715245525000423
-285,42,428,-417,-49,-148,16243,63788,79,64362,-4.453125,0.65625,6.6875,-1.62890625,-0.19140625,-0.578125,0.99139404296875,-0.106689453125,0.00482177734375,-0.0716552734375,-8.232711434948502,-0.3282585528475725,-12.260922396625162,0.991272985935,-0.106234677136,0.004826253746,-0.071480996907,-8.214482146234754,-0.32196107974622507,-12.210934977042182,0.01822928871374785,0.006297473101347428,0.0499874195829797,0.00012105703374998278,0.0004547759889999975,4.476402249999588e-06,0.00017427653050000602
-283,40,417,-394,-54,-136,16238,63752,78,64350,-4.421875,0.625,6.515625,-1.5390625,-0.2109375,-0.53125,0.9910888671875,-0.10888671875,0.0047607421875,-0.0723876953125,-8.314994761168785,-0.3625403226066567,-12.513026957683325,0.990962028503,-0.108441464603,0.004790720996,-0.072203703225,-8.296055728948389,-0.3532253015775182,-12.464469844293335,0.018939032220396612,0.009315021029138504,0.04855711338998958,0.00012683868450003022,0.00044525414700000154,2.9978808500000405e-05,0.00018399208750000118
-281,36,410,-371,-56,-120,16233,63718,77,64340,-4.390625,0.5625,6.40625,-1.44921875,-0.21875,-0.46875,0.99078369140625,-0.1109619140625,0.00469970703125,-0.072998046875,-8.383420440280224,-0.39461174946633076,-12.751380350238822,0.990666747093,-0.11051607877,0.004744763486,-0.072831481695,-8.36661619982727,-0.38372076646590547,-12.702788093449499,0.016804240452954033,0.010890983000425292,0.04859225678932333,0.00011694431325004473,0.000445835292500002,4.5056454749999725e-05,0.00016656517999999454
-279,28,403,-335,-56,-100,16229,63687,76,64332,-4.359375,0.4375,6.296875,-1.30859375,-0.21875,-0.390625,0.99053955078125,-0.11285400390625,0.004638671875,-0.073486328125,-8.437592535516227,-0.4238136877065626,-12.968290957951893,0.990398585796,-0.112384743989,0.004698457662,-0.073342762887,-8.423864682854298,-0.4113026387133732,-12.917484707305107,0.013727852661929774,0.012511048993189389,0.050806250646786566,0.00014096498524995837,0.0004692599172499978,5.978578699999959e-05,0.00014356523800000687
-279,19,399,-307,-54,-84,16225,63659,75,64325,-4.359375,0.296875,6.234375,-1.19921875,-0.2109375,-0.328125,0.99029541015625,-0.11456298828125,0.00457763671875,-0.07391357421875,-8.484981701247271,-0.4508705630194044,-13.164463365952733,0.990152060986,-0.114094309509,0.004664716776,-0.073761992157,-8.47076029329084,-0.4351134464910726,-13.114040828092602,0.014221407956430454,0.015757116528331838,0.050422537860130845,0.00014334917025005112,0.0004686787722500002,8.708005724999968e-05,0.00015158206175000521
-280,11,397,-276,-49,-69,16221,63634,75,64320,-4.375,0.171875,6.203125,-1.078125,-0.19140625,-0.26953125,0.99005126953125,-0.1160888671875,0.00457763671875,-0.07421875,-8.519494530704945,-0.4679828715156956,-13.340519580013353,0.989929676056,-0.115625761449,0.004658719059,-0.07409723103,-8.508455954835474,-0.4532996594124853,-13.290390260367536,0.011038575869470435,0.01468321210321033,0.05012931964581746,0.00012159347524998143,0.0004631057385000026,8.108234024999973e-05,0.000121518969999998
-278,6,395,-246,-44,-56,16218,63612,75,64316,-4.34375,0.09375,6.171875,-0.9609375,-0.171875,-0.21875,0.9898681640625,-0.117431640625,0.00457763671875,-0.074462890625,-8.546785157799027,-0.4827848278587029,-13.495064092832601,0.989730596542,-0.116982616484,0.004678431898,-0.074360333383,-8.538308014041494,-0.4662185156061822,-13.446918110503441,0.008477143757533057,0.0165663122525207,0.04814598232916012,0.00013756752049998155,0.00044902414099999566,0.00010079517925000014,0.00010255724200000649
